rep	L	N	Va	genlen	Nest	va0_est	emp_va	Ne_est
1	500	1000	0.001	0.01	683.5889531187804	-0.0011069372544487937	7.75368509088365e-4	894.7327065082685
1	500	1000	0.001	0.01	1141.4517218606152	1.6899029122799768e-4	7.75368509088365e-4	894.7327065082685
1	500	1000	0.001	0.01	995.2932667226632	-5.285441413522683e-4	7.75368509088365e-4	894.7327065082685
1	500	1000	0.001	0.01	5266.5197447256905	8.066352096110954e-4	7.75368509088365e-4	894.7327065082685
2	500	1000	0.001	0.01	913.4116086696698	-2.8986365896085996e-4	6.048876715101605e-4	894.7327065082685
2	500	1000	0.001	0.01	857.6431756353795	-8.545848360067973e-4	6.048876715101605e-4	894.7327065082685
2	500	1000	0.001	0.01	740.274483668206	-0.0012804807768381072	6.048876715101605e-4	894.7327065082685
2	500	1000	0.001	0.01	1499.9762412972543	9.296822634575915e-5	6.048876715101605e-4	894.7327065082685
3	500	1000	0.001	0.01	734.0495891008711	-0.002134611862086638	3.4336895620937165e-4	894.7327065082685
3	500	1000	0.001	0.01	1087.362060950746	-0.0010177779803290244	3.4336895620937165e-4	894.7327065082685
3	500	1000	0.001	0.01	563.4845190870769	-0.0022807257458310037	3.4336895620937165e-4	894.7327065082685
3	500	1000	0.001	0.01	639.2982925397009	-0.002013347814704976	3.4336895620937165e-4	894.7327065082685
4	500	1000	0.001	0.01	572.4520144013261	-0.001610849594018037	7.787388924847755e-4	894.7327065082685
4	500	1000	0.001	0.01	670.5823352537085	-0.0011902427514771463	7.787388924847755e-4	894.7327065082685
4	500	1000	0.001	0.01	846.5302365836246	-7.737352736838013e-4	7.787388924847755e-4	894.7327065082685
4	500	1000	0.001	0.01	611.6275413763824	-0.0016159340054998441	7.787388924847755e-4	894.7327065082685
5	500	1000	0.001	0.01	1078.1141465196172	5.053223040120455e-4	7.133508840948218e-4	894.7327065082685
5	500	1000	0.001	0.01	837.1254034042773	6.835876623931605e-5	7.133508840948218e-4	894.7327065082685
5	500	1000	0.001	0.01	902.1736366675594	-1.927698021791211e-5	7.133508840948218e-4	894.7327065082685
5	500	1000	0.001	0.01	708.0102529824474	-5.183211939170717e-4	7.133508840948218e-4	894.7327065082685
6	500	1000	0.001	0.01	1122.6539851672997	9.980842175152525e-4	0.0011146044948985591	894.7327065082685
6	500	1000	0.001	0.01	1112.8012333000906	0.0012137547088886618	0.0011146044948985591	894.7327065082685
6	500	1000	0.001	0.01	905.2674364935621	8.975358044014598e-4	0.0011146044948985591	894.7327065082685
6	500	1000	0.001	0.01	1563.716763171714	0.001347599938270989	0.0011146044948985591	894.7327065082685
7	500	1000	0.001	0.01	654.9852088543844	-1.9592899510752776e-4	8.5689807607986e-4	894.7327065082685
7	500	1000	0.001	0.01	856.7163886828573	-2.2678869925982353e-4	8.5689807607986e-4	894.7327065082685
7	500	1000	0.001	0.01	1058.0938358490157	8.998925846373657e-4	8.5689807607986e-4	894.7327065082685
7	500	1000	0.001	0.01	3583.7763681765973	0.0014202569658144915	8.5689807607986e-4	894.7327065082685
8	500	1000	0.001	0.01	411.67452861492757	-0.0011141934789823274	0.0017467920017715981	894.7327065082685
8	500	1000	0.001	0.01	473.2168599570661	-4.884142612827842e-4	0.0017467920017715981	894.7327065082685
8	500	1000	0.001	0.01	575.029809221323	3.8864200272162135e-4	0.0017467920017715981	894.7327065082685
8	500	1000	0.001	0.01	952.3124304528677	0.0015310856553580375	0.0017467920017715981	894.7327065082685
9	500	1000	0.001	0.01	83576.89112628237	0.0018262440137638966	9.867372521809273e-4	894.7327065082685
9	500	1000	0.001	0.01	1661.759400013102	7.202911615063915e-4	9.867372521809273e-4	894.7327065082685
9	500	1000	0.001	0.01	10470.168920148795	0.0015038623779971307	9.867372521809273e-4	894.7327065082685
9	500	1000	0.001	0.01	934.7035173630803	3.4312539725670903e-4	9.867372521809273e-4	894.7327065082685
10	500	1000	0.001	0.01	1506.6060033396502	2.2896621734138837e-4	3.754136882274858e-4	894.7327065082685
10	500	1000	0.001	0.01	750.8400949510964	-6.088948502706528e-4	3.754136882274858e-4	894.7327065082685
10	500	1000	0.001	0.01	-7056.449993285406	0.0019028462898498329	3.754136882274858e-4	894.7327065082685
10	500	1000	0.001	0.01	1053.1118969430952	-1.6848714898853862e-5	3.754136882274858e-4	894.7327065082685
11	500	1000	0.001	0.01	2738.2247408687113	8.516882895535602e-4	7.425486322764898e-4	894.7327065082685
11	500	1000	0.001	0.01	1168.8979156423432	6.59921336216039e-5	7.425486322764898e-4	894.7327065082685
11	500	1000	0.001	0.01	1518.5933528963121	3.2036405710374855e-4	7.425486322764898e-4	894.7327065082685
11	500	1000	0.001	0.01	857.4468380171471	-1.5203738553966884e-4	7.425486322764898e-4	894.7327065082685
12	500	1000	0.001	0.01	5405.58901178816	0.0035179562081804126	0.0011210718227508468	894.7327065082685
12	500	1000	0.001	0.01	939.4944155074631	0.0017467619915764536	0.0011210718227508468	894.7327065082685
12	500	1000	0.001	0.01	5600.832148215845	0.004085081260678209	0.0011210718227508468	894.7327065082685
12	500	1000	0.001	0.01	1661.7266619938675	0.0030720186522484655	0.0011210718227508468	894.7327065082685
13	500	1000	0.001	0.01	2157.0673488350785	8.380920831918223e-4	9.477696572142763e-4	894.7327065082685
13	500	1000	0.001	0.01	5576.80543299422	0.0013728846834602105	9.477696572142763e-4	894.7327065082685
13	500	1000	0.001	0.01	1491.8270336463838	5.982833624066234e-4	9.477696572142763e-4	894.7327065082685
13	500	1000	0.001	0.01	1618.7047599280381	6.598708413514206e-4	9.477696572142763e-4	894.7327065082685
14	500	1000	0.001	0.01	1381.1669352794293	0.0010576253167921975	0.0010694514592863242	894.7327065082685
14	500	1000	0.001	0.01	-17815.414306040624	0.002172627744228715	0.0010694514592863242	894.7327065082685
14	500	1000	0.001	0.01	1208.9873402368619	7.768644666703795e-4	0.0010694514592863242	894.7327065082685
14	500	1000	0.001	0.01	711.2180590883819	3.566508610206212e-5	0.0010694514592863242	894.7327065082685
15	500	1000	0.001	0.01	999.5993811092534	1.7086792372437567e-4	3.1778446270390985e-4	894.7327065082685
15	500	1000	0.001	0.01	998.2399510278639	-5.32287311040917e-6	3.1778446270390985e-4	894.7327065082685
15	500	1000	0.001	0.01	416.9630173214342	-0.0026823352608580796	3.1778446270390985e-4	894.7327065082685
15	500	1000	0.001	0.01	2130.190432515389	0.0012553075334367444	3.1778446270390985e-4	894.7327065082685
16	500	1000	0.001	0.01	706.252681319594	-4.737123584893728e-5	0.0013401107237780397	894.7327065082685
16	500	1000	0.001	0.01	956.1396311409349	2.250134206261585e-4	0.0013401107237780397	894.7327065082685
16	500	1000	0.001	0.01	1323.0822979324623	6.357566731850805e-4	0.0013401107237780397	894.7327065082685
16	500	1000	0.001	0.01	1856.8741007685182	0.0010552036653258363	0.0013401107237780397	894.7327065082685
17	500	1000	0.001	0.01	710.4205322801204	-0.0012191955599690147	7.302300778432311e-4	894.7327065082685
17	500	1000	0.001	0.01	1770.7817909986031	3.4196799686220583e-4	7.302300778432311e-4	894.7327065082685
17	500	1000	0.001	0.01	1236.1279006075652	-3.384962275548232e-4	7.302300778432311e-4	894.7327065082685
17	500	1000	0.001	0.01	788.327678691168	-8.397173930763197e-4	7.302300778432311e-4	894.7327065082685
18	500	1000	0.001	0.01	1126.2183465880032	2.917582481530438e-4	7.554595313256128e-4	894.7327065082685
18	500	1000	0.001	0.01	545.3221138085776	-0.0017054752127437921	7.554595313256128e-4	894.7327065082685
18	500	1000	0.001	0.01	521.2252480676341	-0.0013684860494306797	7.554595313256128e-4	894.7327065082685
18	500	1000	0.001	0.01	437.77471246026846	-0.0016333955357640756	7.554595313256128e-4	894.7327065082685
19	500	1000	0.001	0.01	1004.0448557614211	4.376138916104481e-4	0.0014574418979887553	894.7327065082685
19	500	1000	0.001	0.01	891.0025946993719	2.2088907839621424e-4	0.0014574418979887553	894.7327065082685
19	500	1000	0.001	0.01	1037.1572055593765	-1.4036062058312297e-4	0.0014574418979887553	894.7327065082685
19	500	1000	0.001	0.01	1518.883263474895	7.319698597614886e-4	0.0014574418979887553	894.7327065082685
20	500	1000	0.001	0.01	948.1828056629705	4.344564298618233e-4	0.0013244346711915416	894.7327065082685
20	500	1000	0.001	0.01	624.5361918372582	-8.504989985573416e-4	0.0013244346711915416	894.7327065082685
20	500	1000	0.001	0.01	644.8490703205	-3.4570609248218563e-4	0.0013244346711915416	894.7327065082685
20	500	1000	0.001	0.01	695.907548413617	-3.774402371954186e-4	0.0013244346711915416	894.7327065082685
21	500	1000	0.001	0.01	1527.1572658907291	0.0031866026706653568	6.724272371753276e-4	894.7327065082685
21	500	1000	0.001	0.01	841.7240149995706	0.002369936323156227	6.724272371753276e-4	894.7327065082685
21	500	1000	0.001	0.01	3188.346486923375	0.003626180334713991	6.724272371753276e-4	894.7327065082685
21	500	1000	0.001	0.01	907.8228053136685	0.002406090670656506	6.724272371753276e-4	894.7327065082685
22	500	1000	0.001	0.01	572.3668973864893	-0.001466193841192621	7.166250947868019e-4	894.7327065082685
22	500	1000	0.001	0.01	5176.708584848958	6.448909488386437e-4	7.166250947868019e-4	894.7327065082685
22	500	1000	0.001	0.01	472.0656721992154	-0.002114128720631118	7.166250947868019e-4	894.7327065082685
22	500	1000	0.001	0.01	905.1822578167563	-2.7617486535904106e-4	7.166250947868019e-4	894.7327065082685
23	500	1000	0.001	0.01	19169.722274936958	0.002998412595705021	0.001641031563084564	894.7327065082685
23	500	1000	0.001	0.01	8431.672944249032	0.003033765277845236	0.001641031563084564	894.7327065082685
23	500	1000	0.001	0.01	2260.2488251953114	0.002375078367869484	0.001641031563084564	894.7327065082685
23	500	1000	0.001	0.01	976.7093549498227	0.001608709888090313	0.001641031563084564	894.7327065082685
24	500	1000	0.001	0.01	1007.3414777397899	-3.10221717983704e-4	0.0011508489975599904	894.7327065082685
