Va	sample_size	N	N_error	va_error
0.001	50	1000	0.5131361700098229	7.86532977409594
0.001	100	1000	0.2956842293545437	4.52839404501187
0.001	200	1000	0.15954187742576387	2.7302141223699845
0.001	500	1000	0.08419452636394653	2.0207978999624903
0.005	50	1000	0.49502161984971005	1.810719345050662
0.005	100	1000	0.3102488855709916	1.0829321258263946
0.005	200	1000	0.17601304459446623	0.7778007083816671
0.005	500	1000	0.08345309817136706	0.5962626941823912
0.01	50	1000	0.5699031129707655	1.1112890889341611
0.01	100	1000	0.31214297991861145	0.693132580791928
0.01	200	1000	0.1648353973974584	0.5499252741201218
0.01	500	1000	0.08950404322234204	0.36899174787212563
0.05	50	1000	0.5184267953626207	0.5220866419505668
0.05	100	1000	0.3197783263694517	0.3716555553621878
0.05	200	1000	0.18330932591570961	0.3238062177443787
0.05	500	1000	0.10777001038444439	0.3098124105353397
0.1	50	1000	0.5120133136535912	0.40723591271747206
0.1	100	1000	0.3145348544238772	0.3093374267702261
0.1	200	1000	0.20493522738504477	0.38869866934947117
0.1	500	1000	0.13203993069197223	0.3042018066396085
