L	N	Va	genlen	r	t0	t1	cov	gen	va_r	covbin
10	1e3	0.001	0	0	5	6	2.1004634514763706e-4	6	Inf	(0.000143,0.000263]
10	1e3	0.001	0	0	5	7	2.345761799860428e-4	7	Inf	(0.000143,0.000263]
10	1e3	0.001	0	0	5	8	2.606753738223346e-4	8	Inf	(0.000143,0.000263]
10	1e3	0.001	0	0	5	9	1.420634281753479e-4	9	Inf	(8.43e-05,0.000143]
10	1e3	0.001	0	0	5	10	2.551607115683669e-4	10	Inf	(0.000143,0.000263]
10	1e3	0.001	0	0	5	11	2.0876639075406353e-4	11	Inf	(0.000143,0.000263]
10	1e3	0.001	0	0	5	12	2.3708859344236393e-4	12	Inf	(0.000143,0.000263]
10	1e3	0.001	0	0	5	13	2.1001924475366434e-4	13	Inf	(0.000143,0.000263]
10	1e3	0.001	0	0	5	14	1.9879420437060233e-4	14	Inf	(0.000143,0.000263]
10	1e3	0.001	0	0	5	15	1.9833133554923873e-4	15	Inf	(0.000143,0.000263]
10	1e3	0.001	0	0	5	16	1.434118305009924e-4	16	Inf	(0.000143,0.000263]
10	1e3	0.001	0	0	5	17	2.2098794241339116e-4	17	Inf	(0.000143,0.000263]
10	1e3	0.001	0	0	5	18	2.720960221812566e-4	18	Inf	(0.000263,0.000677]
10	1e3	0.001	0	0	5	19	1.1505469599675108e-4	19	Inf	(8.43e-05,0.000143]
10	1e3	0.001	0	0	5	20	1.4535579913196157e-4	20	Inf	(0.000143,0.000263]
10	1e3	0.001	0	0	5	21	2.2401038673027597e-4	21	Inf	(0.000143,0.000263]
10	1e3	0.001	0	0	5	22	2.230686372410474e-4	22	Inf	(0.000143,0.000263]
10	1e3	0.001	0	0	5	23	2.2633090839879015e-4	23	Inf	(0.000143,0.000263]
10	1e3	0.001	0	0	5	24	2.3396758449645746e-4	24	Inf	(0.000143,0.000263]
10	1e3	0.001	0	0	5	25	2.4668772576997146e-4	25	Inf	(0.000143,0.000263]
10	1e3	0.001	0	0	5	26	2.4393176952577895e-4	26	Inf	(0.000143,0.000263]
10	1e3	0.001	0	0	5	27	1.8085133612423207e-4	27	Inf	(0.000143,0.000263]
10	1e3	0.001	0	0	5	28	2.733649987758577e-4	28	Inf	(0.000263,0.000677]
10	1e3	0.001	0	0	5	29	0.00016122069814336926	29	Inf	(0.000143,0.000263]
10	1e3	0.001	0	0	5	30	1.5021145239476827e-4	30	Inf	(0.000143,0.000263]
10	1e3	0.001	0	0	5	31	1.8127211310849475e-4	31	Inf	(0.000143,0.000263]
10	1e3	0.001	0	0	5	32	2.483758598673201e-4	32	Inf	(0.000143,0.000263]
10	1e3	0.001	0	0	5	33	1.884733088145643e-4	33	Inf	(0.000143,0.000263]
10	1e3	0.001	0	0	5	34	5.209272729349099e-5	34	Inf	(5.1e-05,8.43e-05]
10	1e3	0.001	0	0	5	35	1.339223923764432e-4	35	Inf	(8.43e-05,0.000143]
10	1e3	0.001	0	0	5	36	9.399713365682316e-5	36	Inf	(8.43e-05,0.000143]
10	1e3	0.001	0	0	5	37	1.4449034239940188e-4	37	Inf	(0.000143,0.000263]
10	1e3	0.001	0	0	5	38	1.8938576884152818e-4	38	Inf	(0.000143,0.000263]
10	1e3	0.001	0	0	5	39	1.5460999009529508e-4	39	Inf	(0.000143,0.000263]
10	1e3	0.001	0	0	5	40	1.0461007427906263e-4	40	Inf	(8.43e-05,0.000143]
10	1e3	0.001	0	0	5	41	2.0633450491623127e-4	41	Inf	(0.000143,0.000263]
10	1e3	0.001	0	0	5	42	1.7631327279425793e-4	42	Inf	(0.000143,0.000263]
10	1e3	0.001	0	0	5	43	1.808567843206466e-4	43	Inf	(0.000143,0.000263]
10	1e3	0.001	0	0	5	44	1.4908269350939683e-4	44	Inf	(0.000143,0.000263]
10	1e3	0.001	0	0	5	45	8.238970210886749e-5	45	Inf	(5.1e-05,8.43e-05]
10	1e3	0.001	0	0	5	46	1.978464389361996e-4	46	Inf	(0.000143,0.000263]
10	1e3	0.001	0	0	5	47	1.2193526023094865e-4	47	Inf	(8.43e-05,0.000143]
10	1e3	0.001	0	0	5	48	1.2341655959800284e-4	48	Inf	(8.43e-05,0.000143]
10	1e3	0.001	0	0	5	49	9.966057269332683e-5	49	Inf	(8.43e-05,0.000143]
10	1e3	0.001	0	0	5	50	2.012043668129577e-4	50	Inf	(0.000143,0.000263]
10	1e3	0.001	0.005	0.004975083125415947	5	6	9.377874588417931e-5	6	0.2	(8.43e-05,0.000143]
10	1e3	0.001	0.005	0.004975083125415947	5	7	4.810071972098109e-5	7	0.2	(2.77e-05,5.1e-05]
10	1e3	0.001	0.005	0.004975083125415947	5	8	8.652827311266063e-5	8	0.2	(8.43e-05,0.000143]
10	1e3	0.001	0.005	0.004975083125415947	5	9	7.624096959924166e-5	9	0.2	(5.1e-05,8.43e-05]
10	1e3	0.001	0.005	0.004975083125415947	5	10	5.489773401493156e-5	10	0.2	(5.1e-05,8.43e-05]
10	1e3	0.001	0.005	0.004975083125415947	5	11	6.954213453950418e-5	11	0.2	(5.1e-05,8.43e-05]
