L	N	Va	genlen	r	t0	t1	cov	gen
10	100	0.01	0.01	0.009900663346622374	2	5	4.3494602006875576e-4	2
10	100	0.01	0.01	0.009900663346622374	3	5	3.0488053729406985e-4	3
10	100	0.01	0.01	0.009900663346622374	4	5	4.5493562369101914e-4	4
10	100	0.01	0.01	0.009900663346622374	5	6	5.354176910399896e-4	6
10	100	0.01	0.01	0.009900663346622374	5	7	0.0012719875602765645	7
10	100	0.01	0.01	0.009900663346622374	5	8	0.0010567153237311037	8
10	100	0.01	0.01	0.009900663346622374	5	9	6.596999415226738e-4	9
10	100	0.01	0.01	0.009900663346622374	5	10	8.927377930559826e-4	10
10	100	0.01	0.01	0.009900663346622374	5	11	4.6674729659590956e-4	11
10	100	0.01	0.01	0.009900663346622374	5	12	5.756165674233179e-4	12
10	100	0.01	0.01	0.009900663346622374	5	13	7.728017663404505e-4	13
10	100	0.01	0.01	0.009900663346622374	5	14	7.818856803219073e-4	14
10	100	0.01	0.01	0.009900663346622374	5	15	4.817437130752763e-4	15
10	100	0.01	0.01	0.009900663346622374	5	16	7.588133305123657e-4	16
10	100	0.01	0.01	0.009900663346622374	5	17	2.327226833233319e-4	17
10	100	0.01	0.01	0.009900663346622374	5	18	5.682203795734334e-4	18
10	100	0.01	0.01	0.009900663346622374	5	19	9.10605136401277e-4	19
10	100	0.01	0.01	0.009900663346622374	5	20	-4.7604491282138696e-4	20
10	100	0.01	0.01	0.009900663346622374	5	21	-7.0566840416075434e-6	21
10	100	0.01	0.01	0.009900663346622374	5	22	7.880345149767739e-5	22
10	100	0.01	0.01	0.009900663346622374	5	23	6.722092868468987e-4	23
10	100	0.01	0.01	0.009900663346622374	5	24	5.534071529255452e-4	24
10	100	0.01	0.01	0.009900663346622374	5	25	7.597412544061601e-5	25
10	100	0.01	0.01	0.009900663346622374	5	26	-1.4522515981695377e-4	26
10	100	0.01	0.01	0.009900663346622374	5	27	-2.1954369253460258e-4	27
10	100	0.01	0.01	0.009900663346622374	5	28	1.9177842809801584e-4	28
