L	N	Va	genlen	r	t0	t1	cov	gen
500	1e3	0.01	0.01	0.009900663346622374	2	5	3.563692648142929e-5	2
500	1e3	0.01	0.01	0.009900663346622374	3	5	2.2438058746695457e-5	3
500	1e3	0.01	0.01	0.009900663346622374	4	5	-2.1266448239012377e-5	4
500	1e3	0.01	0.01	0.009900663346622374	5	6	5.428798639620337e-4	6
500	1e3	0.01	0.01	0.009900663346622374	5	7	5.315319940926301e-4	7
500	1e3	0.01	0.01	0.009900663346622374	5	8	5.048280363778199e-4	8
500	1e3	0.01	0.01	0.009900663346622374	5	9	5.134460350671613e-4	9
500	1e3	0.01	0.01	0.009900663346622374	5	10	4.589234878583005e-4	10
500	1e3	0.01	0.01	0.009900663346622374	5	11	4.443963894423115e-4	11
500	1e3	0.01	0.01	0.009900663346622374	5	12	4.5004741060070987e-4	12
500	1e3	0.01	0.01	0.009900663346622374	5	13	3.8624073920614523e-4	13
500	1e3	0.01	0.01	0.009900663346622374	5	14	5.063411787530151e-4	14
500	1e3	0.01	0.01	0.009900663346622374	5	15	-4.395268058784701e-4	15
500	1e3	0.01	0.01	0.009900663346622374	5	16	-4.4389908920940027e-4	16
500	1e3	0.01	0.01	0.009900663346622374	5	17	-4.602497486127051e-4	17
500	1e3	0.01	0.01	0.009900663346622374	5	18	-4.486038814813932e-4	18
500	1e3	0.01	0.01	0.009900663346622374	5	19	-4.240338274206992e-4	19
500	1e3	0.01	0.01	0.009900663346622374	5	20	-4.530794155327204e-4	20
500	1e3	0.01	0.01	0.009900663346622374	5	21	-4.530546598053138e-4	21
500	1e3	0.01	0.01	0.009900663346622374	5	22	-4.646114311530407e-4	22
500	1e3	0.01	0.01	0.009900663346622374	5	23	-5.245285048374685e-4	23
500	1e3	0.01	0.01	0.009900663346622374	5	24	-4.927900375016818e-4	24
500	1e3	0.01	0.01	0.009900663346622374	5	25	-5.182505471360104e-4	25
500	1e3	0.01	0.01	0.009900663346622374	5	26	-5.199515853432961e-4	26
500	1e3	0.01	0.01	0.009900663346622374	5	27	-5.331185562264996e-4	27
500	1e3	0.01	0.01	0.009900663346622374	5	28	-4.735465319602187e-4	28
500	1e3	0.01	0.01	0.009900663346622374	5	29	-4.940498036118937e-4	29
500	1e3	0.01	0.01	0.009900663346622374	5	30	-5.18863522663648e-4	30
500	1e3	0.01	0.01	0.009900663346622374	5	31	-4.353537410478341e-4	31
500	1e3	0.01	0.01	0.009900663346622374	5	32	-5.414061696938651e-4	32
500	1e3	0.01	0.01	0.009900663346622374	5	33	-5.099016534363026e-4	33
500	1e3	0.01	0.01	0.009900663346622374	5	34	-4.3088908361970356e-4	34
500	1e3	0.01	0.01	0.009900663346622374	5	35	-3.9516873212930856e-4	35
500	1e3	0.01	0.01	0.009900663346622374	5	36	-4.174510628885078e-4	36
500	1e3	0.01	0.01	0.009900663346622374	5	37	-3.972202218880822e-4	37
500	1e3	0.01	0.01	0.009900663346622374	5	38	-4.2020756398377724e-4	38
500	1e3	0.01	0.01	0.009900663346622374	5	39	-3.7965038406888974e-4	39
500	1e3	0.01	0.01	0.009900663346622374	5	40	-3.520290755499771e-4	40
500	1e3	0.01	0.01	0.009900663346622374	5	41	-3.93760123970406e-4	41
500	1e3	0.01	0.01	0.009900663346622374	5	42	-3.4946953484358856e-4	42
500	1e3	0.01	0.01	0.009900663346622374	5	43	-3.386048296915471e-4	43
500	1e3	0.01	0.01	0.009900663346622374	5	44	-3.3010073586724783e-4	44
500	1e3	0.01	0.01	0.009900663346622374	5	45	-2.7356540318813845e-4	45
500	1e3	0.01	0.01	0.009900663346622374	5	46	-3.4782903241764693e-4	46
500	1e3	0.01	0.01	0.009900663346622374	5	47	-2.478997091076726e-4	47
500	1e3	0.01	0.01	0.009900663346622374	5	48	-2.5976833537866897e-4	48
500	1e3	0.01	0.01	0.009900663346622374	5	49	-3.000570461074921e-4	49
500	1e3	0.01	0.01	0.009900663346622374	5	50	-2.561882257160775e-4	50
500	1e3	0.01	0.1	0.09063462346100909	2	5	7.305238284969586e-6	2
500	1e3	0.01	0.1	0.09063462346100909	3	5	9.490460979872573e-6	3
500	1e3	0.01	0.1	0.09063462346100909	4	5	-1.0490551338873039e-5	4
500	1e3	0.01	0.1	0.09063462346100909	5	6	1.2319924000300697e-4	6
500	1e3	0.01	0.1	0.09063462346100909	5	7	1.1552086405506145e-4	7
500	1e3	0.01	0.1	0.09063462346100909	5	8	1.0248356383213636e-4	8
500	1e3	0.01	0.1	0.09063462346100909	5	9	1.0027890698720652e-4	9
500	1e3	0.01	0.1	0.09063462346100909	5	10	8.770690510586873e-5	10
500	1e3	0.01	0.1	0.09063462346100909	5	11	1.0459814287236874e-4	11
500	1e3	0.01	0.1	0.09063462346100909	5	12	1.0802045025979882e-4	12
500	1e3	0.01	0.1	0.09063462346100909	5	13	8.177922570729705e-5	13
500	1e3	0.01	0.1	0.09063462346100909	5	14	7.925501278876286e-5	14
500	1e3	0.01	0.1	0.09063462346100909	5	15	-7.872102008368445e-5	15
500	1e3	0.01	0.1	0.09063462346100909	5	16	-8.47174829292356e-5	16
500	1e3	0.01	0.1	0.09063462346100909	5	17	-9.07328410218869e-5	17
500	1e3	0.01	0.1	0.09063462346100909	5	18	-1.0584128684026902e-4	18
500	1e3	0.01	0.1	0.09063462346100909	5	19	-9.265569108136615e-5	19
500	1e3	0.01	0.1	0.09063462346100909	5	20	-9.608680242170756e-5	20
500	1e3	0.01	0.1	0.09063462346100909	5	21	-9.32067748958728e-5	21
500	1e3	0.01	0.1	0.09063462346100909	5	22	-1.0315302472019745e-4	22
500	1e3	0.01	0.1	0.09063462346100909	5	23	-8.81636842334104e-5	23
500	1e3	0.01	0.1	0.09063462346100909	5	24	-8.414938548413106e-5	24
500	1e3	0.01	0.1	0.09063462346100909	5	25	-8.716833506277042e-5	25
