L	N	Va	genlen	r	t0	t1	cov	gen
500	1e3	0.01	0.01	0.009900663346622374	2	5	2.3280734213932318e-7	2
500	1e3	0.01	0.01	0.009900663346622374	3	5	-2.074610749120351e-5	3
500	1e3	0.01	0.01	0.009900663346622374	4	5	-1.7392727130113088e-5	4
500	1e3	0.01	0.01	0.009900663346622374	5	6	5.273123652179226e-4	6
500	1e3	0.01	0.01	0.009900663346622374	5	7	5.482366565327488e-4	7
500	1e3	0.01	0.01	0.009900663346622374	5	8	5.278182795851823e-4	8
500	1e3	0.01	0.01	0.009900663346622374	5	9	5.32033041197038e-4	9
500	1e3	0.01	0.01	0.009900663346622374	5	10	5.298095312651544e-4	10
500	1e3	0.01	0.01	0.009900663346622374	5	11	5.021692648916364e-4	11
500	1e3	0.01	0.01	0.009900663346622374	5	12	4.804550759993809e-4	12
500	1e3	0.01	0.01	0.009900663346622374	5	13	4.8460592392584874e-4	13
500	1e3	0.01	0.01	0.009900663346622374	5	14	5.084720643629499e-4	14
500	1e3	0.01	0.01	0.009900663346622374	5	15	4.758031201476165e-4	15
500	1e3	0.01	0.01	0.009900663346622374	5	16	4.323338858067988e-4	16
500	1e3	0.01	0.01	0.009900663346622374	5	17	4.574599665837151e-4	17
500	1e3	0.01	0.01	0.009900663346622374	5	18	4.3479990457175093e-4	18
500	1e3	0.01	0.01	0.009900663346622374	5	19	4.4199402222547425e-4	19
500	1e3	0.01	0.01	0.009900663346622374	5	20	4.537917315933058e-4	20
500	1e3	0.01	0.01	0.009900663346622374	5	21	4.364671745316397e-4	21
500	1e3	0.01	0.01	0.009900663346622374	5	22	4.0669945109812793e-4	22
500	1e3	0.01	0.01	0.009900663346622374	5	23	3.9290637444277675e-4	23
500	1e3	0.01	0.01	0.009900663346622374	5	24	2.9653574772424825e-4	24
500	1e3	0.01	0.01	0.009900663346622374	5	25	3.2069496306902286e-4	25
500	1e3	0.01	0.01	0.009900663346622374	5	26	3.424379543639487e-4	26
500	1e3	0.01	0.01	0.009900663346622374	5	27	3.1883618339957365e-4	27
500	1e3	0.01	0.01	0.009900663346622374	5	28	3.035870483733584e-4	28
500	1e3	0.01	0.01	0.009900663346622374	5	29	2.0404891755733414e-4	29
500	1e3	0.01	0.01	0.009900663346622374	5	30	2.832716868818946e-4	30
500	1e3	0.01	0.01	0.009900663346622374	5	31	2.8146222155032643e-4	31
500	1e3	0.01	0.01	0.009900663346622374	5	32	2.4409388940512986e-4	32
500	1e3	0.01	0.01	0.009900663346622374	5	33	1.8068691887284662e-4	33
500	1e3	0.01	0.01	0.009900663346622374	5	34	2.1842068547102403e-4	34
500	1e3	0.01	0.01	0.009900663346622374	5	35	1.9453937654156142e-4	35
500	1e3	0.01	0.01	0.009900663346622374	5	36	2.0504786903163542e-4	36
500	1e3	0.01	0.01	0.009900663346622374	5	37	1.7547762978401368e-4	37
500	1e3	0.01	0.01	0.009900663346622374	5	38	1.3746940750371253e-4	38
500	1e3	0.01	0.01	0.009900663346622374	5	39	1.4822036838413194e-4	39
500	1e3	0.01	0.01	0.009900663346622374	5	40	1.6798852002143552e-4	40
500	1e3	0.01	0.01	0.009900663346622374	5	41	1.943498168706991e-4	41
500	1e3	0.01	0.01	0.009900663346622374	5	42	1.4212948571306594e-4	42
500	1e3	0.01	0.01	0.009900663346622374	5	43	1.247339718669903e-4	43
500	1e3	0.01	0.01	0.009900663346622374	5	44	1.054084262397477e-4	44
500	1e3	0.01	0.01	0.009900663346622374	5	45	1.1182877823944359e-4	45
500	1e3	0.01	0.01	0.009900663346622374	5	46	1.446166214500619e-4	46
500	1e3	0.01	0.01	0.009900663346622374	5	47	9.697795834201266e-5	47
500	1e3	0.01	0.01	0.009900663346622374	5	48	4.404999866494538e-5	48
500	1e3	0.01	0.01	0.009900663346622374	5	49	1.0221554882837386e-4	49
500	1e3	0.01	0.01	0.009900663346622374	5	50	7.202919209956069e-5	50
500	1e3	0.01	0.1	0.09063462346100909	2	5	-9.051421804092454e-7	2
500	1e3	0.01	0.1	0.09063462346100909	3	5	3.9878393604252154e-6	3
500	1e3	0.01	0.1	0.09063462346100909	4	5	4.101183471924916e-6	4
500	1e3	0.01	0.1	0.09063462346100909	5	6	1.0417584339981186e-4	6
500	1e3	0.01	0.1	0.09063462346100909	5	7	1.1074807888745427e-4	7
500	1e3	0.01	0.1	0.09063462346100909	5	8	1.1528356255875365e-4	8
500	1e3	0.01	0.1	0.09063462346100909	5	9	9.346021389847916e-5	9
500	1e3	0.01	0.1	0.09063462346100909	5	10	1.0306018765129098e-4	10
500	1e3	0.01	0.1	0.09063462346100909	5	11	1.0410039177350486e-4	11
500	1e3	0.01	0.1	0.09063462346100909	5	12	1.0276319387786186e-4	12
500	1e3	0.01	0.1	0.09063462346100909	5	13	1.0304385330047326e-4	13
500	1e3	0.01	0.1	0.09063462346100909	5	14	9.023003474492134e-5	14
500	1e3	0.01	0.1	0.09063462346100909	5	15	8.423771039829154e-5	15
500	1e3	0.01	0.1	0.09063462346100909	5	16	8.44660572429121e-5	16
500	1e3	0.01	0.1	0.09063462346100909	5	17	1.005615265423163e-4	17
500	1e3	0.01	0.1	0.09063462346100909	5	18	1.0082246912901205e-4	18
500	1e3	0.01	0.1	0.09063462346100909	5	19	1.0371954714078177e-4	19
500	1e3	0.01	0.1	0.09063462346100909	5	20	1.0474207010563677e-4	20
500	1e3	0.01	0.1	0.09063462346100909	5	21	8.791094602357843e-5	21
500	1e3	0.01	0.1	0.09063462346100909	5	22	8.20801345878195e-5	22
500	1e3	0.01	0.1	0.09063462346100909	5	23	8.263452421955219e-5	23
500	1e3	0.01	0.1	0.09063462346100909	5	24	9.748802608730868e-5	24
500	1e3	0.01	0.1	0.09063462346100909	5	25	9.165100606450153e-5	25
500	1e3	0.01	0.1	0.09063462346100909	5	26	7.502125976785211e-5	26
500	1e3	0.01	0.1	0.09063462346100909	5	27	6.85178619362387e-5	27
500	1e3	0.01	0.1	0.09063462346100909	5	28	7.577262210187385e-5	28
500	1e3	0.01	0.1	0.09063462346100909	5	29	6.411904099664397e-5	29
500	1e3	0.01	0.1	0.09063462346100909	5	30	6.0798731711424676e-5	30
500	1e3	0.01	0.1	0.09063462346100909	5	31	7.367591897579626e-5	31
500	1e3	0.01	0.1	0.09063462346100909	5	32	6.137823828616628e-5	32
500	1e3	0.01	0.1	0.09063462346100909	5	33	6.811726489064231e-5	33
500	1e3	0.01	0.1	0.09063462346100909	5	34	4.725848581421897e-5	34
500	1e3	0.01	0.1	0.09063462346100909	5	35	6.021218178275155e-5	35
500	1e3	0.01	0.1	0.09063462346100909	5	36	3.99833842855621e-5	36
500	1e3	0.01	0.1	0.09063462346100909	5	37	6.170111149221479e-5	37
500	1e3	0.01	0.1	0.09063462346100909	5	38	4.4377609141946586e-5	38
500	1e3	0.01	0.1	0.09063462346100909	5	39	3.618772345197286e-5	39
500	1e3	0.01	0.1	0.09063462346100909	5	40	5.7152145487615415e-5	40
500	1e3	0.01	0.1	0.09063462346100909	5	41	5.0172684486853767e-05	41
500	1e3	0.01	0.1	0.09063462346100909	5	42	4.827835934075906e-5	42
500	1e3	0.01	0.1	0.09063462346100909	5	43	5.716185883410216e-5	43
500	1e3	0.01	0.1	0.09063462346100909	5	44	3.946459396429085e-5	44
500	1e3	0.01	0.1	0.09063462346100909	5	45	4.156389623813312e-5	45
500	1e3	0.01	0.1	0.09063462346100909	5	46	3.131807756965818e-5	46
500	1e3	0.01	0.1	0.09063462346100909	5	47	2.1637853360051046e-5	47
500	1e3	0.01	0.1	0.09063462346100909	5	48	3.3213813429841105e-5	48
500	1e3	0.01	0.1	0.09063462346100909	5	49	2.8750658428083066e-5	49
500	1e3	0.01	0.1	0.09063462346100909	5	50	3.1592226743396945e-5	50
500	1e3	0.01	0.5	0.31606027941427883	2	5	-4.2580488621621893e-7	2
500	1e3	0.01	0.5	0.31606027941427883	3	5	1.1231345246010884e-5	3
500	1e3	0.01	0.5	0.31606027941427883	4	5	-3.6594703007796457e-6	4
500	1e3	0.01	0.5	0.31606027941427883	5	6	3.576086700303437e-5	6
500	1e3	0.01	0.5	0.31606027941427883	5	7	2.418483725601435e-5	7
500	1e3	0.01	0.5	0.31606027941427883	5	8	3.130995741558727e-5	8
500	1e3	0.01	0.5	0.31606027941427883	5	9	1.91364046335516e-5	9
500	1e3	0.01	0.5	0.31606027941427883	5	10	3.069410141364222e-5	10
500	1e3	0.01	0.5	0.31606027941427883	5	11	2.9726783995341967e-5	11
500	1e3	0.01	0.5	0.31606027941427883	5	12	3.172330338041403e-5	12
500	1e3	0.01	0.5	0.31606027941427883	5	13	2.415986912895306e-5	13
500	1e3	0.01	0.5	0.31606027941427883	5	14	2.458684891085407e-5	14
500	1e3	0.01	0.5	0.31606027941427883	5	15	1.838824295603156e-5	15
500	1e3	0.01	0.5	0.31606027941427883	5	16	2.9030304071719367e-5	16
500	1e3	0.01	0.5	0.31606027941427883	5	17	2.9595648988130848e-5	17
500	1e3	0.01	0.5	0.31606027941427883	5	18	1.8823422037715914e-5	18
500	1e3	0.01	0.5	0.31606027941427883	5	19	1.9207516528380056e-5	19
500	1e3	0.01	0.5	0.31606027941427883	5	20	2.6915819558229396e-5	20
500	1e3	0.01	0.5	0.31606027941427883	5	21	2.5142698991509443e-5	21
500	1e3	0.01	0.5	0.31606027941427883	5	22	3.108986691936015e-5	22
500	1e3	0.01	0.5	0.31606027941427883	5	23	1.7573313065741912e-5	23
500	1e3	0.01	0.5	0.31606027941427883	5	24	1.9408987549258733e-5	24
500	1e3	0.01	0.5	0.31606027941427883	5	25	9.566556735294977e-6	25
500	1e3	0.01	0.5	0.31606027941427883	5	26	1.4982660057821954e-5	26
500	1e3	0.01	0.5	0.31606027941427883	5	27	3.125037168311935e-5	27
500	1e3	0.01	0.5	0.31606027941427883	5	28	3.985490691457858e-6	28
500	1e3	0.01	0.5	0.31606027941427883	5	29	1.5162285949869953e-5	29
500	1e3	0.01	0.5	0.31606027941427883	5	30	1.9522375649811862e-5	30
500	1e3	0.01	0.5	0.31606027941427883	5	31	1.0426050540135827e-5	31
500	1e3	0.01	0.5	0.31606027941427883	5	32	1.0259635419740692e-5	32
500	1e3	0.01	0.5	0.31606027941427883	5	33	2.4755929517461176e-5	33
500	1e3	0.01	0.5	0.31606027941427883	5	34	2.180588571375005e-5	34
500	1e3	0.01	0.5	0.31606027941427883	5	35	1.7776261188923063e-5	35
500	1e3	0.01	0.5	0.31606027941427883	5	36	6.381803104820526e-6	36
500	1e3	0.01	0.5	0.31606027941427883	5	37	1.076719083008668e-5	37
500	1e3	0.01	0.5	0.31606027941427883	5	38	2.4255569385362017e-5	38
500	1e3	0.01	0.5	0.31606027941427883	5	39	1.259280671268063e-5	39
500	1e3	0.01	0.5	0.31606027941427883	5	40	1.391107670168941e-5	40
500	1e3	0.01	0.5	0.31606027941427883	5	41	3.389636443629015e-6	41
500	1e3	0.01	0.5	0.31606027941427883	5	42	1.4223384862984808e-5	42
500	1e3	0.01	0.5	0.31606027941427883	5	43	1.70565685038382e-5	43
500	1e3	0.01	0.5	0.31606027941427883	5	44	4.421071229340519e-6	44
500	1e3	0.01	0.5	0.31606027941427883	5	45	1.3440830792727053e-5	45
500	1e3	0.01	0.5	0.31606027941427883	5	46	2.2316598896357536e-5	46
500	1e3	0.01	0.5	0.31606027941427883	5	47	9.395874672681862e-6	47
