L	N	Va	genlen	r	t0	t1	cov	gen
10	1e3	0.001	0.01	0.009900663346622374	2	5	-2.031315785105987e-5	2
10	1e3	0.001	0.01	0.009900663346622374	3	5	4.077970800313429e-6	3
10	1e3	0.001	0.01	0.009900663346622374	4	5	3.3399947969890266e-5	4
10	1e3	0.001	0.01	0.009900663346622374	5	6	6.241993857490413e-5	6
10	1e3	0.001	0.01	0.009900663346622374	5	7	2.8508820813190375e-5	7
10	1e3	0.001	0.01	0.009900663346622374	5	8	3.306188197942982e-5	8
10	1e3	0.001	0.01	0.009900663346622374	5	9	3.429689957031983e-5	9
10	1e3	0.001	0.01	0.009900663346622374	5	10	4.6354746428242536e-5	10
10	1e3	0.001	0.01	0.009900663346622374	5	11	5.750732870229888e-5	11
10	1e3	0.001	0.01	0.009900663346622374	5	12	3.719714949252081e-5	12
10	1e3	0.001	0.01	0.009900663346622374	5	13	6.828863916912428e-5	13
10	1e3	0.001	0.01	0.009900663346622374	5	14	3.1702652077285684e-5	14
10	1e3	0.001	0.01	0.009900663346622374	5	15	4.1443996049501026e-5	15
10	1e3	0.001	0.01	0.009900663346622374	5	16	3.0675650591497376e-5	16
10	1e3	0.001	0.01	0.009900663346622374	5	17	3.521592934929253e-5	17
10	1e3	0.001	0.01	0.009900663346622374	5	18	3.577673819152591e-5	18
10	1e3	0.001	0.01	0.009900663346622374	5	19	7.02719538368767e-5	19
10	1e3	0.001	0.01	0.009900663346622374	5	20	6.368051041206156e-5	20
10	1e3	0.001	0.01	0.009900663346622374	5	21	4.9225809383088286e-5	21
10	1e3	0.001	0.01	0.009900663346622374	5	22	6.005138142643563e-5	22
10	1e3	0.001	0.01	0.009900663346622374	5	23	5.5664747438468067e-5	23
10	1e3	0.001	0.01	0.009900663346622374	5	24	3.351297863100629e-5	24
10	1e3	0.001	0.01	0.009900663346622374	5	25	9.07337749876947e-5	25
10	1e3	0.001	0.01	0.009900663346622374	5	26	2.1605566008490505e-5	26
10	1e3	0.001	0.01	0.009900663346622374	5	27	7.999181096169203e-5	27
10	1e3	0.001	0.01	0.009900663346622374	5	28	3.961663216127597e-5	28
10	1e3	0.001	0.01	0.009900663346622374	5	29	3.469429594215144e-5	29
10	1e3	0.001	0.01	0.009900663346622374	5	30	4.1989083776371454e-5	30
10	1e3	0.001	0.01	0.009900663346622374	5	31	6.2096670695311e-5	31
10	1e3	0.001	0.01	0.009900663346622374	5	32	4.889290728454787e-5	32
10	1e3	0.001	0.01	0.009900663346622374	5	33	4.41810888807055e-5	33
10	1e3	0.001	0.01	0.009900663346622374	5	34	5.24246685570836e-5	34
10	1e3	0.001	0.01	0.009900663346622374	5	35	4.237582390134897e-5	35
10	1e3	0.001	0.01	0.009900663346622374	5	36	4.3593713446395374e-5	36
10	1e3	0.001	0.01	0.009900663346622374	5	37	4.54803666063104e-5	37
10	1e3	0.001	0.01	0.009900663346622374	5	38	3.0077613413575106e-5	38
10	1e3	0.001	0.01	0.009900663346622374	5	39	4.4691580473028303e-05	39
10	1e3	0.001	0.01	0.009900663346622374	5	40	6.50765005643649e-5	40
10	1e3	0.001	0.01	0.009900663346622374	5	41	2.5843274630643652e-5	41
10	1e3	0.001	0.01	0.009900663346622374	5	42	4.825302741362042e-5	42
10	1e3	0.001	0.01	0.009900663346622374	5	43	4.3506423814776615e-5	43
10	1e3	0.001	0.01	0.009900663346622374	5	44	2.4336897190498678e-5	44
10	1e3	0.001	0.01	0.009900663346622374	5	45	1.2503800561230064e-5	45
10	1e3	0.001	0.01	0.009900663346622374	5	46	3.6447714636771985e-5	46
10	1e3	0.001	0.01	0.009900663346622374	5	47	3.613815371955194e-5	47
10	1e3	0.001	0.01	0.009900663346622374	5	48	2.5042813791799554e-5	48
10	1e3	0.001	0.01	0.009900663346622374	5	49	2.2596785447182655e-5	49
10	1e3	0.001	0.01	0.009900663346622374	5	50	4.2634547922318044e-5	50
10	1e3	0.001	0.1	0.09063462346100909	2	5	5.315578149637799e-6	2
10	1e3	0.001	0.1	0.09063462346100909	3	5	6.6502957550793226e-6	3
10	1e3	0.001	0.1	0.09063462346100909	4	5	-1.0826126863512731e-5	4
10	1e3	0.001	0.1	0.09063462346100909	5	6	1.9838502020714718e-5	6
10	1e3	0.001	0.1	0.09063462346100909	5	7	1.496967969836194e-5	7
10	1e3	0.001	0.1	0.09063462346100909	5	8	1.6128310172771143e-5	8
10	1e3	0.001	0.1	0.09063462346100909	5	9	-1.0875027076510339e-5	9
10	1e3	0.001	0.1	0.09063462346100909	5	10	-8.577733473243036e-6	10
10	1e3	0.001	0.1	0.09063462346100909	5	11	-2.3225868002780144e-6	11
10	1e3	0.001	0.1	0.09063462346100909	5	12	-7.089387043333474e-6	12
