L	N	Va	alpha	genlen	r	gen	kvar	zbar	ac_var	ac_cov	neut_ssh	sel_ssh	sel_het	neut_het	neut_ssh_delta	neut_ssh0	sel_ssh0	zvar0	var_type	variance	cov
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	6	2.0425025025025025	0.023154756412374317	0.004986915412274977	-1.6115366164402706e-4	68.237235525	60.94827537	0.12189655074	0.1241083182223273	0.9977880089391268	68.366516205	61.07594405	0.009832149342488387	additive genetic	0.009700028918402822	4.991030217686552e-4
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	7	2.0464064064064065	0.03272001761974411	0.004971666540676956	-1.881660529031749e-4	68.08629537	60.761909179999996	0.12152381836	0.1238337917318395	0.9960214709358478	68.366516205	61.07594405	0.009832149342488387	additive genetic	0.009624243091815147	4.94309545320717e-4
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	8	2.041121121121121	0.04213615733594113	0.004953912317933154	-2.1541333166088226e-4	67.815412065	60.544923495	0.12108984699	0.12334111539231021	0.9951613865490414	68.366516205	61.07594405	0.009832149342488387	additive genetic	0.009566394781137924	4.904531300131167e-4
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	9	2.037237237237237	0.0514779920895555	0.004928073205156866	-2.3560809754404483e-4	67.4872795	60.22912721	0.12045825442000001	0.12274431541231674	0.9949933060348061	68.366516205	61.07594405	0.009832149342488387	additive genetic	0.009489565637884225	4.8563937910223745e-4
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	10	2.007287287287287	0.06119812990568191	0.004901333561705712	-2.722679811525235e-4	67.149391345	59.902324965	0.11980464992999999	0.12212977218908004	0.9945192568744347	68.366516205	61.07594405	0.009832149342488387	additive genetic	0.009374323950751282	4.7888078930914126e-4
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	11	2.028968968968969	0.07083897499065298	0.004873540136846384	-3.0148099067536094e-4	66.78136278	59.562643785	0.11912528757	0.12146041027972788	0.9942580906702485	68.366516205	61.07594405	0.009832149342488387	additive genetic	0.009249456260025737	4.7165571411060677e-4
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	12	2.023043043043043	0.0801093183947257	0.004845164535527094	-3.3055047852077426e-4	66.39791025	59.215847455	0.11843169491000001	0.12076299561674728	0.9933346393985344	68.366516205	61.07594405	0.009832149342488387	additive genetic	0.009127977393165959	4.6462912618897343e-4
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	13	2.0463263263263265	0.08929141666251264	0.004811081796631945	-3.82839443807509e-4	65.955344235	58.799300555	0.11759860111	0.11995806670364845	0.9915388271947817	68.366516205	61.07594405	0.009832149342488387	additive genetic	0.008956437283814398	4.550841146634067e-4
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	14	2.027107107107107	0.09815532087366337	0.0047704048422653736	-4.432129137446753e-4	65.39728467	58.30216154	0.11660432308	0.11894308077188898	0.9908285555275487	68.366516205	61.07594405	0.009832149342488387	additive genetic	0.008835006978112493	4.481148389292309e-4
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	15	2.0408608608608607	0.10686409269305375	0.004726060525990491	-4.987188896890913e-4	64.797497105	57.760201355	0.11552040271	0.11785220091120731	0.9909003160408412	68.366516205	61.07594405	0.009832149342488387	additive genetic	0.008613087164291518	4.3608267989411227e-4
