N	alpha	rec_frac	gen	wvar	kvar	wbar	theory_va	cov
1000	0.05	1e-4	5	2.925237887887893e-4	2.0031391391391393	1.0527191	3.117578300542352e-4	5.9252219162354654e-5
1000	0.05	1e-4	6	2.931145645645651e-4	1.999971971971972	1.0529752000000001	3.1134156352403725e-4	5.916718686812724e-5
1000	0.05	1e-4	7	2.897730430430436e-4	2.0032992992992993	1.0532684	3.108339113456486e-4	5.9064805844040086e-5
1000	0.05	1e-4	8	2.9186735735735786e-4	1.9952872872872873	1.0536054000000001	3.102355127651076e-4	5.894520275488936e-5
1000	0.05	1e-4	9	2.89466456456457e-4	2.005297297297297	1.0538976	3.0954711156862665e-4	5.88085240766468e-5
1000	0.05	1e-4	10	2.896375575575581e-4	2.006974974974975	1.0541634	3.087695541589591e-4	5.865493572112161e-5
1000	0.05	1e-4	11	2.8841195195195246e-4	2.0023703703703704	1.0544134	3.0790378738842074e-4	5.848462261462247e-5
1000	0.05	1e-4	12	2.9111301301301353e-4	1.9983743743743743	1.0546896000000001	3.069508561579371e-4	5.829778823243179e-5
1000	0.05	1e-4	13	2.916685785785791e-4	2.000988988988989	1.0550142	3.059119007923887e-4	5.809465409107392e-5
1000	0.05	1e-4	14	2.886973123123128e-4	2.000024024024024	1.0553033	3.0478815420336417e-4	5.787545920051664e-5
1000	0.05	1e-4	15	2.8771686186186235e-4	1.9912672672672673	1.0555333	3.035809388511915e-4	5.7640459478587926e-5
1000	0.05	1e-4	16	2.8859024024024076e-4	2.0037197197197196	1.0558398	3.022916635188527e-4	5.738992713002741e-5
1000	0.05	1e-4	17	2.867682982982988e-4	1.9982822822822823	1.0561416000000001	3.0092181991088767e-4	5.712414999268571e-5
1000	0.05	1e-4	18	2.8879890890890945e-4	2.0034954954954953	1.0564174	2.994729790910864e-4	5.684343085351361e-5
1000	0.05	1e-4	19	2.86521496496497e-4	2.004980980980981	1.0567019	2.9794678777313866e-4	5.6548086737051685e-5
1000	0.05	1e-4	20	2.864752202202207e-4	1.9946106106106105	1.0569299	2.9634496447870494e-4	5.623844816918481e-5
1000	0.05	1e-4	21	2.8663137637637687e-4	1.9987827827827829	1.0572103000000002	2.9466929557784584e-4	5.5914858419013064e-5
1000	0.05	1e-4	22	2.851352902902908e-4	2.0010530530530533	1.0574453000000001	2.9292163122669615e-4	5.557767272167924e-5
1000	0.05	1e-4	23	2.831226926926932e-4	2.004656656656657	1.0577064	2.911038812177191e-4	5.522725748507573e-5
1000	0.05	1e-4	24	2.817167067067072e-4	1.9935775775775775	1.0579640000000001	2.8921801075753884e-4	5.4863989483287305e-5
1000	0.05	1e-4	25	2.8243452952953e-4	2.0027507507507507	1.0582485000000001	2.872660361876019e-4	5.448825503967204e-5
1000	0.05	1e-4	26	2.81849514514515e-4	1.9974654654654656	1.0584805000000002	2.852500206626479e-4	5.4100449202429e-5
1000	0.05	1e-4	27	2.833567767767773e-4	2.0038718718718718	1.0587186	2.831720698018192e-4	5.37009749154702e-5
1000	0.05	1e-4	28	2.826690040040045e-4	1.9976736736736738	1.0589839	2.810343273269667e-4	5.329024218736108e-5
1000	0.05	1e-4	29	2.791103403403408e-4	2.0012052052052054	1.059253	2.788389707023761e-4	5.2868667261027555e-5
1000	0.05	1e-4	30	2.803552002002007e-4	1.9998038038038037	1.0595067	2.7658820678973977e-4	5.2436671786850524e-5
1000	0.05	1e-4	31	2.803776876876882e-4	1.9985065065065064	1.0597694	2.742842675317828e-4	5.1994682001687536e-5
1000	0.05	1e-4	32	2.8140248748748797e-4	1.9943863863863864	1.0600499	2.7192940567731066e-4	5.1543127916237326e-5
1000	0.05	1e-4	33	2.809339889889895e-4	2.000056056056056	1.0603397	2.6952589056015633e-4	5.108244251310685e-5
1000	0.05	1e-4	34	2.795371171171176e-4	1.9936896896896896	1.0606084	2.6707600394360156e-4	5.0613060957766576e-5
1000	0.05	1e-4	35	2.7792933933933983e-4	1.998858858858859	1.0608626	2.645820359413848e-4	5.0135419824491286e-5
1000	0.05	1e-4	36	2.783377927927933e-4	2.005793793793794	1.0611691	2.620462810257415e-4	4.9649956339254836e-5
1000	0.05	1e-4	37	2.7683238738738787e-4	2.011307307307307	1.0614299	2.594710341321943e-4	4.915710764140847e-5
1000	0.05	1e-4	38	2.7652078078078127e-4	1.9978218218218218	1.061717	2.568585868700255e-4	4.865731006582166e-5
1000	0.05	1e-4	39	2.772052802802808e-4	2.0036956956956957	1.0619729	2.542112238467622e-4	4.8150998447049056e-5
1000	0.05	1e-4	40	2.788606106106111e-4	1.99809009009009	1.0621722	2.5153121911415877e-4	4.763860544692612e-5
1000	0.05	1e-4	41	2.7694727227227275e-4	1.9921801801801802	1.0624097000000001	2.488208327424769e-4	4.712056090686472e-5
1000	0.05	1e-4	42	2.779311911911917e-4	2.000788788788789	1.0626866000000001	2.460823075290117e-4	4.6597291225958104e-5
1000	0.05	1e-4	43	2.7582585585585634e-4	1.9982902902902904	1.062946	2.4331786584618924e-4	4.606921876588551e-5
1000	0.05	1e-4	44	2.7620621621621673e-4	2.0023303303303304	1.0631942	2.4052970663377912e-4	4.553676128345798e-5
1000	0.05	1e-4	45	2.738701901901907e-4	1.9945865865865866	1.0634844	2.3772000253885746e-4	4.5000331391474425e-5
1000	0.05	1e-4	46	2.742732232232237e-4	2.0024104104104103	1.0636882	2.3489089720682573e-4	4.4460336048493785e-5
1000	0.05	1e-4	47	2.7380303303303354e-4	2.001297297297297	1.0639266	2.320445027256185e-4	4.3917176077906887e-5
1000	0.05	1e-4	48	2.7255907907907957e-4	2.0034954954954953	1.0642392	2.2918289722494734e-4	4.337124571663725e-5
1000	0.05	1e-4	49	2.7146829329329376e-4	1.9962602602602602	1.0644597	2.263081226315843e-4	4.2822932193640006e-5
1000	0.05	1e-4	50	2.7227719719719767e-4	2.0036276276276275	1.0647148	2.234221825810647e-4	4.227261533824998e-5
1000	0.05	1e-4	51	2.691953353353358e-4	1.9905065065065064	1.0649766	2.2052704048562439e-4	4.172066721832329e-5
1000	0.05	1e-4	52	2.687543243243248e-4	2.005353353353353	1.0652216	2.1762461775765103e-4	4.116745180801525e-5
1000	0.05	1e-4	53	2.6827597097097143e-4	2.005317317317317	1.0654755	2.147167921873291e-4	4.061332468492429e-5
1000	0.05	1e-4	54	2.682347847847853e-4	1.9988028028028029	1.0657338	2.1180539647273287e-4	4.005863275625119e-5
1000	0.05	1e-4	55	2.654230530530535e-4	1.9975415415415416	1.0659952000000001	2.0889221689997093e-4	3.9503714013500185e-5
